train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
3376.342529296875,489.4914855957031,6.726306438446045,6.1749444007873535
216.611328125,131.65171813964844,5.27034330368042,4.868429660797119
78.20356750488281,74.7761001586914,4.324431419372559,4.299644947052002
44.37887954711914,59.29136657714844,3.7572481632232666,4.0659871101379395
31.848636627197266,48.7705192565918,3.440006971359253,3.8746140003204346
24.85237693786621,49.00774002075195,3.196138620376587,3.880397081375122
19.96853256225586,46.398223876953125,2.9826323986053467,3.823805570602417
16.80807113647461,43.70442199707031,2.812933921813965,3.765131711959839
14.152265548706055,43.684814453125,2.6398987770080566,3.7647411823272705
12.165546417236328,46.87786865234375,2.49131178855896,3.8366823196411133
10.444001197814941,41.83255386352539,2.3412508964538574,3.7217910289764404
9.23667049407959,43.440120697021484,2.218362808227539,3.7622272968292236
8.256625175476074,47.35322952270508,2.107008218765259,3.8461878299713135
6.6061882972717285,39.831695556640625,1.8804731369018555,3.6752984523773193
6.177892208099365,39.12544250488281,1.8171617984771729,3.6573925018310547
6.014473915100098,38.58089828491211,1.7908737659454346,3.6435468196868896
5.87961483001709,38.36539077758789,1.7685232162475586,3.637927770614624
5.76215124130249,38.18874740600586,1.7485617399215698,3.6334078311920166
5.654812335968018,38.0607795715332,1.7299171686172485,3.6301305294036865
5.556562423706055,37.98063278198242,1.7125234603881836,3.6280717849731445
5.464054107666016,37.929054260253906,1.6958376169204712,3.6267969608306885
5.378342628479004,38.00154495239258,1.6801091432571411,3.62872314453125
5.315824031829834,37.90189743041992,1.6684571504592896,3.6262218952178955
5.219220161437988,37.975257873535156,1.6502058506011963,3.628103256225586
5.145604610443115,37.95869064331055,1.6360557079315186,3.627680540084839
5.076684474945068,38.08320999145508,1.6226379871368408,3.6309707164764404
5.019460678100586,38.02646255493164,1.6113556623458862,3.6297943592071533
4.941821575164795,38.114437103271484,1.5958058834075928,3.6319875717163086
4.882404327392578,38.223697662353516,1.583735704421997,3.634873151779175
4.814998149871826,38.35597610473633,1.5695332288742065,3.6385982036590576
