representation,adi,nmi
glove,1.5663588733491034,1.2869101392563425
gpt2_11th_layer,0.46899350887870916,0.6630670361734073
gpt2_last_layer,1.406013228642906,0.6591261830398505
bert_emb,2.1876720876657636,1.8508551169177747
fasttext,1.5093291622167453,1.15156046610918
elmo,2.913744212802685,2.2105499095505707
gpt2_wte,1.3988280261143893,1.1049820947129687
stbs_bert,39.213740409096836,32.689470615837564
gpt_4_last_layers,-0.08508685210709507,0.5185583649959405
w2v,2.908252681933762,2.1503961734563823
bert_4_last_layers,0.5376149573882507,1.0720558938823752
bert_last_layer,3.6970372836635477,5.062542288166725
