train_perplexity_conv_lstm,test_perplexity_conv_lstm,train_loss_conv_lstm,test_loss_conv_lstm
1628.35009765625,74.20095825195312,5.463955879211426,4.251526355743408
49.40343475341797,48.859619140625,3.8330564498901367,3.8348677158355713
30.20488739013672,44.75203323364258,3.364865303039551,3.750887155532837
22.929819107055664,43.23003005981445,3.0973174571990967,3.717731237411499
18.39543914794922,41.04605484008789,2.88470458984375,3.6658382415771484
15.286256790161133,42.108001708984375,2.707190990447998,3.6899187564849854
13.121870040893555,43.85874938964844,2.555588722229004,3.7315785884857178
10.052876472473145,38.93191909790039,2.289194345474243,3.6131784915924072
9.537443161010742,38.32716751098633,2.240201234817505,3.597872734069824
9.260078430175781,38.035762786865234,2.211860418319702,3.5901448726654053
9.03035831451416,37.893829345703125,2.187544584274292,3.586188316345215
8.827147483825684,37.84160232543945,2.1654062271118164,3.5845625400543213
8.642601013183594,37.838932037353516,2.1447930335998535,3.5842607021331787
8.472431182861328,37.857295989990234,2.125352382659912,3.5845367908477783
8.313660621643066,37.8839111328125,2.106827735900879,3.585049629211426
8.092180252075195,37.27053451538086,2.07939076423645,3.5685806274414062
8.045241355895996,37.214141845703125,2.0739145278930664,3.566986322402954
8.020668983459473,37.181217193603516,2.071000337600708,3.5660555362701416
8.000937461853027,37.161033630371094,2.0686419010162354,3.565469741821289
7.983133792877197,37.147640228271484,2.0664992332458496,3.5650675296783447
7.966292381286621,37.13785171508789,2.064460277557373,3.564763069152832
7.950012683868408,37.13023376464844,2.0624797344207764,3.5645198822021484
7.934109687805176,37.124027252197266,2.0605366230010986,3.5643157958984375
7.918484687805176,37.11875915527344,2.058619499206543,3.564138650894165
7.903072357177734,37.114253997802734,2.056722402572632,3.563983917236328
7.887835502624512,37.11045455932617,2.0548417568206787,3.5638487339019775
7.872757434844971,37.10725402832031,2.052974224090576,3.5637311935424805
7.857816696166992,37.10471725463867,2.051119089126587,3.5636327266693115
7.842993259429932,37.10281753540039,2.0492732524871826,3.5635509490966797
7.828282833099365,37.101009368896484,2.0474374294281006,3.5634734630584717
