efnet_bloc3c_age_gender,efnet_top_conv_age_gender,hierarchy_based_sim,resnet_conv4_block5,resnet_conv5_block3,resnet_fer_last
0.868852182390176,1.242897596793788,-0.09072035181476283,0.5349068000353308,1.2755962243279357,0.7583000761269525
0.9529917504587223,0.9190261003116321,-0.41032635564217657,1.2413016987077932,1.6275814222238671,0.10822224218893302
0.1311087814919064,0.4216632831535821,-0.045451593876243875,0.43524919667618023,1.0669648480806406,0.9734276973710873
1.2311839646818823,0.9467498968922554,0.31619146112335766,1.4845293760119636,2.220663916155669,0.2195703206858202
2.259125184301168,1.5045829170878657,0.39137106925631,1.5846832140106972,1.9916057289537503,0.5768110015074721
2.3308286684579427,1.43859822485921,-0.2823150596134019,2.060939677732721,2.3019250272885925,0.5567644511989287
1.8198967361129668,1.4841546484307058,-0.39016713142887866,1.4883706207301763,1.3215812226885004,-0.16182134877824383
0.09181932941707552,-0.03707027879967832,0.04258018687401737,0.6708834953945242,0.3183186671055006,-0.3725323471933559
0.7127154268006134,0.5096333205258813,-0.28380080028160765,1.6443518380183066,1.1603332292897761,0.22766004608782814
0.3043527923508487,0.26376862691533765,-0.022420839243337293,0.4346188664243821,0.8416777473191934,0.11341073982026656
0.206148222152534,-0.08117210103255885,0.030288153894809277,1.201007004650428,1.9419448961568262,0.1748134646430704
2.2702283925751345,1.668738399535271,-0.29337727491357796,3.235554641797896,2.5124361264739563,0.6015648333850423
