efnet_bloc3c_age_gender,efnet_top_conv_age_gender,hierarchy_based_sim,resnet_conv4_block5,resnet_conv5_block3,resnet_fer_last
0.833623016550292,0.8841472122445525,0.19474347168557474,1.1346775840231094,1.9200037305583395,0.392438727872997
1.1865593540392996,1.0556982030318238,0.26111320913162656,1.1420257013518786,2.122105331338193,0.22215694079567813
0.4301267944323137,0.6281094860523021,0.31218388992733426,0.7252655512064843,1.6395092236671385,0.5611045953779851
1.7578758729789825,1.2967538111426373,0.42501818949707315,1.8802158911550768,2.590037644211126,0.15609387549099335
2.4985620656797254,1.8022263705409962,0.2420298637773324,1.773612798391536,2.4448342745738163,0.18751066363039445
2.504883936934847,1.6731559395951938,0.3977591927684432,2.3208987087058426,2.9747369583633843,0.18067869541743165
1.8232889873209799,1.4220647332355858,0.09333867930619746,2.0401093577532428,1.8240509496691748,0.0763152976456419
0.36591783395279065,0.3047454014427068,0.12124630484896988,0.7682973062537446,0.4556853323390097,0.3107848475010691
1.0968112965698533,0.8969338277908632,0.22510728038519856,1.4202969051354863,1.6961572235164444,0.13830463544628135
0.5785832498772743,0.5222636480675819,0.08155835434871259,0.35020147489323233,1.082370425353876,0.14127226607960366
0.18018089854818253,0.10522042771867857,0.5869895325569375,1.3330009348473615,2.2564001020418316,0.8321609406013427
2.6187691685395,2.0332109326079264,0.4153452218991778,2.3853217917824376,3.2101548688131976,0.21824936410673562
