image_model,adi,nmi
efnet_top_conv_age_gender,-0.1526062050893689,0.08487808017908038
resnet_conv5_block3,-0.5513250270750013,0.9242319921691413
resnet_fer_last,-0.5386226912998012,0.35618474788712207
resnet_conv4_block5,0.7781719558284282,1.2356202404218977
hierarchy_based_sim,-0.23080059330651215,0.1603577366295146
efnet_bloc3c_age_gender,0.1344947326974386,0.0636745992868489
