train_perplexity_conv_lstm_full_transfer_learning,test_perplexity_conv_lstm_full_transfer_learning,train_loss_conv_lstm_full_transfer_learning,test_loss_conv_lstm_full_transfer_learning
2341.6220703125,120.8131103515625,5.901152610778809,4.783845901489258
66.85529327392578,61.30836868286133,4.157463550567627,4.102754592895508
37.302799224853516,53.628021240234375,3.5951435565948486,3.968215227127075
27.110132217407227,41.623252868652344,3.2817258834838867,3.7162892818450928
21.580915451049805,41.689517974853516,3.060796022415161,3.717278480529785
17.63551902770996,39.33407974243164,2.859222888946533,3.661133050918579
15.042389869689941,38.825252532958984,2.702662944793701,3.6484344005584717
12.664009094238281,40.23472595214844,2.5309336185455322,3.683926582336426
10.997540473937988,39.611297607421875,2.3924953937530518,3.667045831680298
9.49896240234375,44.05867004394531,2.2454752922058105,3.774372100830078
8.391990661621094,41.86849594116211,2.1214911937713623,3.722031354904175
7.397894859313965,43.41328811645508,1.996056079864502,3.7571678161621094
6.658100128173828,44.461212158203125,1.887373924255371,3.7816274166107178
5.132617473602295,40.671669006347656,1.6296850442886353,3.693641424179077
4.801218032836914,40.74403762817383,1.5654112100601196,3.695847511291504
4.633724689483643,40.99710464477539,1.5303057432174683,3.702180862426758
4.468939781188965,40.97582244873047,1.4938708543777466,3.7017486095428467
4.444972515106201,40.98762130737305,1.4886512756347656,3.7020862102508545
4.427002906799316,41.00751876831055,1.48469078540802,3.702613592147827
4.4069132804870605,41.01029586791992,1.480116844177246,3.702685594558716
4.40512752532959,41.01318359375,1.4797227382659912,3.702760696411133
4.403379917144775,41.0161247253418,1.4793367385864258,3.702836751937866
4.401668071746826,41.019100189208984,1.4789576530456543,3.7029130458831787
4.399983882904053,41.02210235595703,1.4785845279693604,3.7029902935028076
4.398322582244873,41.025150299072266,1.4782155752182007,3.7030680179595947
4.396681308746338,41.02825927734375,1.477851152420044,3.7031476497650146
4.395057201385498,41.03138732910156,1.4774895906448364,3.7032270431518555
4.393446922302246,41.03450393676758,1.4771307706832886,3.7033064365386963
4.391847610473633,41.03767013549805,1.4767743349075317,3.7033870220184326
4.390261173248291,41.04085159301758,1.4764200448989868,3.703468084335327
