train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
"tf.Tensor(34.356007, shape=(), dtype=float32)","tf.Tensor(1229.2539, shape=(), dtype=float32)","tf.Tensor(3.0322316, shape=(), dtype=float32)","tf.Tensor(0.7986521, shape=(), dtype=float32)"
"tf.Tensor(29.25756, shape=(), dtype=float32)","tf.Tensor(1181.1509, shape=(), dtype=float32)","tf.Tensor(2.907117, shape=(), dtype=float32)","tf.Tensor(0.79666895, shape=(), dtype=float32)"
"tf.Tensor(24.427988, shape=(), dtype=float32)","tf.Tensor(1187.2344, shape=(), dtype=float32)","tf.Tensor(2.7659187, shape=(), dtype=float32)","tf.Tensor(0.79613894, shape=(), dtype=float32)"
"tf.Tensor(21.082283, shape=(), dtype=float32)","tf.Tensor(1280.1681, shape=(), dtype=float32)","tf.Tensor(2.6512134, shape=(), dtype=float32)","tf.Tensor(0.8026552, shape=(), dtype=float32)"
"tf.Tensor(18.038242, shape=(), dtype=float32)","tf.Tensor(1248.4674, shape=(), dtype=float32)","tf.Tensor(2.525852, shape=(), dtype=float32)","tf.Tensor(0.8007513, shape=(), dtype=float32)"
"tf.Tensor(15.538319, shape=(), dtype=float32)","tf.Tensor(1191.0322, shape=(), dtype=float32)","tf.Tensor(2.4063911, shape=(), dtype=float32)","tf.Tensor(0.7970216, shape=(), dtype=float32)"
"tf.Tensor(13.639416, shape=(), dtype=float32)","tf.Tensor(1315.6388, shape=(), dtype=float32)","tf.Tensor(2.3016448, shape=(), dtype=float32)","tf.Tensor(0.80591637, shape=(), dtype=float32)"
"tf.Tensor(11.956984, shape=(), dtype=float32)","tf.Tensor(1273.7491, shape=(), dtype=float32)","tf.Tensor(2.1964507, shape=(), dtype=float32)","tf.Tensor(0.80345345, shape=(), dtype=float32)"
"tf.Tensor(10.518524, shape=(), dtype=float32)","tf.Tensor(1226.5588, shape=(), dtype=float32)","tf.Tensor(2.0931048, shape=(), dtype=float32)","tf.Tensor(0.8003392, shape=(), dtype=float32)"
"tf.Tensor(9.379162, shape=(), dtype=float32)","tf.Tensor(1268.2936, shape=(), dtype=float32)","tf.Tensor(2.0002794, shape=(), dtype=float32)","tf.Tensor(0.80246717, shape=(), dtype=float32)"
"tf.Tensor(8.331233, shape=(), dtype=float32)","tf.Tensor(1323.7511, shape=(), dtype=float32)","tf.Tensor(1.9034213, shape=(), dtype=float32)","tf.Tensor(0.80582523, shape=(), dtype=float32)"
"tf.Tensor(7.530038, shape=(), dtype=float32)","tf.Tensor(1446.9838, shape=(), dtype=float32)","tf.Tensor(1.8216561, shape=(), dtype=float32)","tf.Tensor(0.812693, shape=(), dtype=float32)"
"tf.Tensor(6.8396378, shape=(), dtype=float32)","tf.Tensor(1597.0327, shape=(), dtype=float32)","tf.Tensor(1.7430942, shape=(), dtype=float32)","tf.Tensor(0.8196823, shape=(), dtype=float32)"
"tf.Tensor(6.227272, shape=(), dtype=float32)","tf.Tensor(1662.217, shape=(), dtype=float32)","tf.Tensor(1.6666853, shape=(), dtype=float32)","tf.Tensor(0.82226104, shape=(), dtype=float32)"
"tf.Tensor(5.6853604, shape=(), dtype=float32)","tf.Tensor(1691.2175, shape=(), dtype=float32)","tf.Tensor(1.5920918, shape=(), dtype=float32)","tf.Tensor(0.82422984, shape=(), dtype=float32)"
"tf.Tensor(5.183073, shape=(), dtype=float32)","tf.Tensor(1751.6122, shape=(), dtype=float32)","tf.Tensor(1.516137, shape=(), dtype=float32)","tf.Tensor(0.82661384, shape=(), dtype=float32)"
"tf.Tensor(4.8047934, shape=(), dtype=float32)","tf.Tensor(1822.6896, shape=(), dtype=float32)","tf.Tensor(1.453972, shape=(), dtype=float32)","tf.Tensor(0.8300852, shape=(), dtype=float32)"
"tf.Tensor(4.453356, shape=(), dtype=float32)","tf.Tensor(1812.3582, shape=(), dtype=float32)","tf.Tensor(1.391265, shape=(), dtype=float32)","tf.Tensor(0.83019423, shape=(), dtype=float32)"
"tf.Tensor(4.1273475, shape=(), dtype=float32)","tf.Tensor(1897.1626, shape=(), dtype=float32)","tf.Tensor(1.3283527, shape=(), dtype=float32)","tf.Tensor(0.83493763, shape=(), dtype=float32)"
"tf.Tensor(3.826617, shape=(), dtype=float32)","tf.Tensor(1976.9391, shape=(), dtype=float32)","tf.Tensor(1.2659323, shape=(), dtype=float32)","tf.Tensor(0.83710784, shape=(), dtype=float32)"
"tf.Tensor(3.574961, shape=(), dtype=float32)","tf.Tensor(2084.3645, shape=(), dtype=float32)","tf.Tensor(1.209336, shape=(), dtype=float32)","tf.Tensor(0.84181315, shape=(), dtype=float32)"
"tf.Tensor(3.373066, shape=(), dtype=float32)","tf.Tensor(2130.7217, shape=(), dtype=float32)","tf.Tensor(1.1614712, shape=(), dtype=float32)","tf.Tensor(0.8438772, shape=(), dtype=float32)"
"tf.Tensor(3.1845446, shape=(), dtype=float32)","tf.Tensor(2123.8206, shape=(), dtype=float32)","tf.Tensor(1.1135956, shape=(), dtype=float32)","tf.Tensor(0.84292644, shape=(), dtype=float32)"
"tf.Tensor(2.9976537, shape=(), dtype=float32)","tf.Tensor(2073.6255, shape=(), dtype=float32)","tf.Tensor(1.0633199, shape=(), dtype=float32)","tf.Tensor(0.84238845, shape=(), dtype=float32)"
"tf.Tensor(2.8305235, shape=(), dtype=float32)","tf.Tensor(2098.396, shape=(), dtype=float32)","tf.Tensor(1.0156419, shape=(), dtype=float32)","tf.Tensor(0.8441059, shape=(), dtype=float32)"
"tf.Tensor(2.6940734, shape=(), dtype=float32)","tf.Tensor(2120.78, shape=(), dtype=float32)","tf.Tensor(0.9745413, shape=(), dtype=float32)","tf.Tensor(0.8463297, shape=(), dtype=float32)"
"tf.Tensor(2.5743904, shape=(), dtype=float32)","tf.Tensor(2140.6191, shape=(), dtype=float32)","tf.Tensor(0.9366399, shape=(), dtype=float32)","tf.Tensor(0.8469703, shape=(), dtype=float32)"
"tf.Tensor(2.446036, shape=(), dtype=float32)","tf.Tensor(2153.6775, shape=(), dtype=float32)","tf.Tensor(0.8940505, shape=(), dtype=float32)","tf.Tensor(0.8440641, shape=(), dtype=float32)"
